comment,list of emojis,sentiment ranking
,0,0
الدول العربية الي نهار ومطال وهما يسبو فيها هما السند للمغرب ودوك دول الجوار هما شر للمغرب دايماً يحفرو لينا قالك دول الشقيقة المغاربية لا اخوتي ماشقيقة ماشفيقة حنا ولاد ضرتهم معمرهم بغاونا 😂😂😂😂,0,0
منافقين الفلسطنين فين كانت 😂😂😂😂,0,0
بالدعاء 😂😂😂,0,0
فين هو ياسر عرفات نسيتيه زعما,0,0
المغرب,0,0
❤️❤️,0,0
فلسطين : 🙈🙉🙊,0,0
khawa khawa kano hors ligne dak nhar,0,0
المغرب أول بلد عتارف بالولايات 🇲🇦❤️المتحدة، تاريخ ومجد كبير,0,0
شاهد فلسطيني يرفض حرق علم المملكة المغربية 😂😂😂😂😂 🇲🇦🇲🇦🇲🇦🇲🇦,0,0
فينكم ا جيران 😒 ههههه دبا يقول ليكم نسيتونا,0,0
الخليج ديما مع المغرب الحب لا ينتهي ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,0,0
نرضوها لهم فساعات الخير غير ديروها نمشيو حتا حنا,0,0
Byyach charko,0,0
عندما كان بعض العرب يتحدون ...المهم اخويا  مابغيناش الشونطاج ...البارح الامارات نازلة علينا بالسبان والمعيور وتشويه سمعة المغرب واليوم جاية تفتح القنصلية ديالها في الصحراء .. والفاهم يفهم .. #لا_للتطبيع_مع_الكيان_الصهيوني,0,0
كيف شاركت,0,0
filistin makaynach yak,0,0
الأردن,0,0
صحراءنا مغربية مأصلة بحكم حقيقة التاريخ و امتداد الجغرافية احب من أحب و كره من كره و نحن على  بعد خطوات لإعطاء الضربة القاضية (ضربة علي كلاي الله يرحمو)  لاعداءنا و خصومنا  المجد لمغربنا و وحدته الترابية من طنجة إلى الكويرة 👍👍👍,0,0
🔥❤️❤️😂,0,0
سوريا طبعا ماكايناش هههه,0,0
وامريكا كان شي واحد هاز علم ديالها,0,0
@chadi_el_mellouki,0,0
هه سبحان الله هذو نفسهم اللي ماصوتوش للمغرب فكأس العالم من غير سلطنة عمان,0,0
كيفاش،  شرح لينا نوع المشاركة أو داك الشي!!,0,0
المملكة العربية السعودية,0,0
عمان,0,0
الاردن,0,0
L'algéri wa ma jawaraha li 9rab ma3alabalhoumch 🤣🤣🤣🤣@kenzabenabdellah  @zinebmakrati,0,0
دابا تݣول الجزائر راه هما لي نظمو المسيرة الخضراء و راهي  اصلا ديالهم,0,0
Q,0,0
اين هي الجزائر,0,0
🤣🤣🤣🤣🤣,0,0
السنغال 🇸🇳,0,0
على هاد القبل هاد الدول خاصها كلها تفتح قنصليات ديالها فالصحراء المغربية إسوة بالشقيقة الإمارات.. ولا عزاء لقطاع الطرق ولعصابة العسكر الداعمة لهم..,0,0
فين كتنساو المغاربة لي كافحو من اجل المسيرة الخضراء,0,0
Walou jirane?🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣,0,0
أول مرة نعرف دابا زدت تأكد بلا الجيران مكتجمعنا يبهم تاشي علاقة,0,0
مصر ؟؟؟؟,0,0
,0,0
مكنتش 😁,0,0
Hhh mama kant ba9a sghiwra salwtha ma3tatnich khbar makynch m3mn🤣🤣,0,0
9lawi lwalid,0,0
كنت فواحد اللوزة,0,0
